topic,stance,argument,argument_sentiment
build hydroelectric dams,CON,people worldwide have been physically displaced from their homes as a result of dam construction,-1.0
democratization,CON,the benefits of a specialised society may be compromised by democracy,-1.0
the right to bear arms,CON,The personal right to bear arms is thought to be a paramount right by which other rights could be protected,1.0
the sale of violent video games to minors,CON,There is no connection between exposure to media violence and real life violence,1.0
Israel's 2008-2009 military operations against Gaza,PRO,"During Operation Cast Lead, the Israeli Defense Forces did more to safeguard the rights of civilians in a combat zone than any other army in the history of warfare",1.0
unleash the free market,PRO,Centralized planning leads to malinvestment of capital,-1.0
institute a mandatory retirement age,PRO,The older generation workers often require more benefits from the company due to their age,-1.0
austerity measures,CON,deficit spending may create inflation,-1.0
intellectual property rights,PRO,The allegedly absurd lengths that copyright enforcement is taken to have hindered the ability of consumers to buy the products they want,-1.0
wind power,PRO,Producing electricity from wind reduces the consumption of fossil fuels and therefore leads to emissions savings,1.0
unleash the free market,PRO,economic freedom is not only desirable in itself but is also a necessary condition for political freedom,1.0
unleash the free market,PRO,the state and economy are inherently separate from each other,
year round schooling,PRO,summer vacation is a period when students’ rate of academic development declines relative to the school year,
the monarchy,PRO,Monarchical prerogative powers can be used to circumvent normal democratic process with no accountability,-1.0
partial birth abortions,CON,whether or not to continue with a pregnancy is an inviolable personal choice,
have children,CON,there ought to be a higher rate of population growth than what is currently mainstream,1.0
unleash the free market,PRO,a market economy prevents long-term surpluses,-1.0
multiculturalism,CON,the multiculturalist policy of freer immigration is unworkable in an era in which the supply of immigrants from third world countries seems limitless,-1.0
the sale of violent video games to minors,CON,adolescents that don't play video games at all are most at-risk for violent behavior,-1.0
the sale of violent video games to minors,PRO,Exposure to violent video games[REF] is related to increased aggressiveness in children,-1.0
multiculturalism,CON,Multiculturalism is divisive,-1.0
wind power,CON,Wind farms 'ruin the landscape',-1.0
austerity measures,CON,government austerity can result in economic expansion,1.0
subsidize poor communities,CON,Social welfare creates dependence to the state,-1.0
democratization,CON,democracy cannot be imposed from the outside,
the use of affirmative action,CON,the only consideration in choosing between applicants should be merit,1.0
subsidize poor communities,PRO,economic equality is necessary for political freedom,1.0
open primaries,CON,Open primary may dilute the vote of a particular party and lead to a nominee who does not represent the views of his particular party,-1.0
gambling,PRO,Any form of gambling is susceptible to fraud,-1.0
governments should choose open source software,PRO,"The end-user of Open Source code has the ability to change and modify source to implement any extra ""features"" of security they may wish for a specific use",1.0
atheism,PRO,religions can be harmful,-1.0
unleash the free market,PRO,Regulation in markets is rejected as inefficient,-1.0
endangered species,PRO,Biodiversity is a source of economic wealth,1.0
the use of performance enhancing drugs in professional sports,PRO,anybody should be free to put any substance they choose into their own bodies for any reason,
atheism,CON,existence must be due to an agent cause,1.0
advertising,CON,advertising can be seen as necessary for economic growth,1.0
wind power,CON,wind power is dependent on weather systems,-1.0
the right to bear arms,PRO,gun control laws are effective in reducing gun-related accidents and crime,1.0
governments should choose open source software,PRO,Open source software is flexible,1.0
the one-child policy of the republic of China,CON,Coercive measures were used to achieve the desired results of the one-child policy,-1.0
build hydroelectric dams,PRO,"even a slow flowing stream of water, or moderate sea swell, can yield considerable amounts of energy",1.0
collective bargaining rights claimed by trades unions,CON,"collective bargaining is ""in the public interest",1.0
Israel's 2008-2009 military operations against Gaza,CON,the massive and disproportionate attacks by Israel to the Gaza Strip are in violation of international humanitarian law,-1.0
only teach abstinence for sex education in schools,CON,abstinence-only sex ed and conservative moralizing will only alienate students,-1.0
atheism,PRO,"The theory of natural selection is much simpler than the theory of the existence of such a complex being, and thus preferable",1.0
subsidize poor communities,CON,there is no encouragement of those receiving aid to resume working,-1.0
